name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Acaeroplastes_melanurus|BOLDAEI1446|LPRCR039-21	BOLD:AEI1446	Acaeroplastes melanurus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.23_261.1c3fe0fb-8547-410f-b311-5858d9b0e807.jpg	UKSI_no_specimens	France	True	reference_tree			0.727	B	clean	1	BOLD:AEI1446	False				Reference	LPRCR039-21		NBNSYS0000008576	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Acaeroplastes%20melanurus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Acaeroplastes%20melanurus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Acaeroplastes%20melanurus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI1446)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCR039-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI1446[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_laevis|BOLDAEH3566|GBMND17237-21	BOLD:AEH3566	Porcellio laevis		UKSI_no_specimens	Egypt	True	reference_tree			0.727	E	shares_BIN_with_other_species	12	BOLD:AAH4107; BOLD:ACH2657; BOLD:ACP8435; BOLD:AEB1768; BOLD:AEB1769; BOLD:AEG3031; BOLD:AEH3565; BOLD:AEH3566; BOLD:AEI2355; BOLD:AEI9667; BOLD:AFS0009; BOLD:AGE8866	False				Reference	GBMND17237-21		NHMSYS0020302569	0		Porcellionidae	Africa	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20laevis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20laevis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20laevis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEH3566)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMND17237-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEH3566[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_laevis|BOLDAGE8866|GBCMI3923-19	BOLD:AGE8866	Porcellio laevis		UKSI_no_specimens	China	True	reference_tree			0.54	E	shares_BIN_with_other_species	12	BOLD:AAH4107; BOLD:ACH2657; BOLD:ACP8435; BOLD:AEB1768; BOLD:AEB1769; BOLD:AEG3031; BOLD:AEH3565; BOLD:AEH3566; BOLD:AEI2355; BOLD:AEI9667; BOLD:AFS0009; BOLD:AGE8866	False				Reference	GBCMI3923-19		NHMSYS0020302569	0		Porcellionidae	East Asia	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20laevis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20laevis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20laevis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGE8866)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCMI3923-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGE8866[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_spinicornis|BOLDADI3596|BISCE024-17	BOLD:ADI3596	Porcellio spinicornis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.11_181.fe2cb353-a0c4-4fc0-b0ce-33541c28e29e.jpg	UKSI_no_specimens	Germany	True	reference_tree			0.991	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	BISCE024-17		NBNSYS0000008581	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20spinicornis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20spinicornis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20spinicornis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADI3596)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BISCE024-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADI3596[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_spinicornis|BOLDAGE9891|DTNHM4249-22	BOLD:AGE9891	Porcellio spinicornis		UKSI_no_specimens	United Kingdom	True	reference_tree			0.991	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	DTNHM4249-22		NBNSYS0000008581	0		Porcellionidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20spinicornis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20spinicornis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20spinicornis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGE9891)	[🔬 This specimen](https://portal.boldsystems.org/result?query=DTNHM4249-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGE9891[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_spinicornis|BOLDAGA9677|TBGMI091-21	BOLD:AGA9677	Porcellio spinicornis		UKSI_no_specimens	Germany	True	reference_tree			0.987	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	TBGMI091-21		NBNSYS0000008581	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20spinicornis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20spinicornis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20spinicornis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGA9677)	[🔬 This specimen](https://portal.boldsystems.org/result?query=TBGMI091-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGA9677[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_sp._DNAS-21F-220307|BOLDAGA9677|GBCMI5552-19	BOLD:AGA9677	Porcellio sp. DNAS-21F-220307		Europe_reference	United States	False	reference_tree			0.859	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	GBCMI5552-19		NBNSYS0000008581	0		Porcellionidae	North America	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20sp.%20DNAS-21F-220307)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20sp.%20DNAS-21F-220307%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20sp.%20DNAS-21F-220307)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGA9677)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCMI5552-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGA9677[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_spinicornis|BOLDAEX5344|DTNHM4745-22	BOLD:AEX5344	Porcellio spinicornis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.15_124.427a6936-617f-45a3-9e74-ec506bb3f73a.jpg	UKSI_no_specimens	United Kingdom	True	reference_tree			0.0	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	DTNHM4745-22		NBNSYS0000008581	0		Porcellionidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20spinicornis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20spinicornis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20spinicornis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEX5344)	[🔬 This specimen](https://portal.boldsystems.org/result?query=DTNHM4745-22[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEX5344[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_spinicornis|BOLDAAH4101|RBGC063-03	BOLD:AAH4101	Porcellio spinicornis		UKSI_no_specimens	Unknown	True	reference_tree			0.0	E	shares_BIN_with_other_species	5	BOLD:AAH4101; BOLD:ADI3596; BOLD:AEX5344; BOLD:AGA9677; BOLD:AGE9891	False				Reference	RBGC063-03		NBNSYS0000008581	0		Porcellionidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20spinicornis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20spinicornis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20spinicornis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAH4101)	[🔬 This specimen](https://portal.boldsystems.org/result?query=RBGC063-03[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAH4101[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_scaber|BOLDAEO7189|TBGMI090-21	BOLD:AEO7189	Porcellio scaber		UKSI_no_specimens	Germany	True	reference_tree			0.513	C	split_across_9_BINs	9	BOLD:AAC3755; BOLD:AAZ0248; BOLD:AAZ0249; BOLD:ABA5892; BOLD:ADK8850; BOLD:ADM8147; BOLD:AEO7189; BOLD:AGY1842; BOLD:AHC9630	False				Reference	TBGMI090-21		NBNSYS0000008580	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20scaber)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20scaber%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20scaber)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEO7189)	[🔬 This specimen](https://portal.boldsystems.org/result?query=TBGMI090-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEO7189[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_scaber|BOLDAEO7189|TBGMI090-21	BOLD:AEO7189	Porcellio scaber		UKSI_no_specimens	Germany	True	reference_tree			0.513	C	split_across_9_BINs	9	BOLD:AAC3755; BOLD:AAZ0248; BOLD:AAZ0249; BOLD:ABA5892; BOLD:ADK8850; BOLD:ADM8147; BOLD:AEO7189; BOLD:AGY1842; BOLD:AHC9630	False				Reference	TBGMI090-21		NBNSYS0000008580	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20scaber)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20scaber%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20scaber)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEO7189)	[🔬 This specimen](https://portal.boldsystems.org/result?query=TBGMI090-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEO7189[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_pruinosus|BOLDAAB0922|GBCMD15019-15	BOLD:AAB0922	Porcellionides pruinosus		UKSI_no_specimens	Unknown	True	reference_tree				E	shares_BIN_with_other_species	7	BOLD:AAB0922; BOLD:AAH4110; BOLD:AAL0707; BOLD:ACH2448; BOLD:AEI1978; BOLD:AEI1979; BOLD:AGK4898	False				Reference	GBCMD15019-15		NBNSYS0000008583	0		Porcellionidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20pruinosus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20pruinosus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20pruinosus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB0922)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCMD15019-15[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AAB0922[bin],%22Wellcome%20Sanger%20Institute%22[inst])	No support data
Porcellio_laevis|BOLDAEI2355|LPRCR061-21	BOLD:AEI2355	Porcellio laevis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_104.4183f915-bcde-4528-9a7d-cc0bbe434a72.jpg	UKSI_no_specimens	France	True	reference_tree			0.6	E	shares_BIN_with_other_species	12	BOLD:AAH4107; BOLD:ACH2657; BOLD:ACP8435; BOLD:AEB1768; BOLD:AEB1769; BOLD:AEG3031; BOLD:AEH3565; BOLD:AEH3566; BOLD:AEI2355; BOLD:AEI9667; BOLD:AFS0009; BOLD:AGE8866	False				Reference	LPRCR061-21		NHMSYS0020302569	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20laevis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20laevis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20laevis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI2355)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCR061-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI2355[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_laevis|BOLDACH2657|GBAAX51146-24	BOLD:ACH2657	Porcellio laevis		UKSI_no_specimens	Unrecoverable	True	reference_tree			0.953	E	shares_BIN_with_other_species	12	BOLD:AAH4107; BOLD:ACH2657; BOLD:ACP8435; BOLD:AEB1768; BOLD:AEB1769; BOLD:AEG3031; BOLD:AEH3565; BOLD:AEH3566; BOLD:AEI2355; BOLD:AEI9667; BOLD:AFS0009; BOLD:AGE8866	False				Reference	GBAAX51146-24		NHMSYS0020302569	0		Porcellionidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20laevis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20laevis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20laevis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACH2657)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBAAX51146-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACH2657[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_laevis|BOLDAEI9667|LPRCR006-21	BOLD:AEI9667	Porcellio laevis	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.17_286.f0af5199-0ebb-4a49-ab45-2eb79355cf5c.jpg	UKSI_no_specimens	France	True	reference_tree			0.953	E	shares_BIN_with_other_species	12	BOLD:AAH4107; BOLD:ACH2657; BOLD:ACP8435; BOLD:AEB1768; BOLD:AEB1769; BOLD:AEG3031; BOLD:AEH3565; BOLD:AEH3566; BOLD:AEI2355; BOLD:AEI9667; BOLD:AFS0009; BOLD:AGE8866	False				Reference	LPRCR006-21		NHMSYS0020302569	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20laevis)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20laevis%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20laevis)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI9667)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCR006-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI9667[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
